prodboomcd,projection_year,value
AORV_Type1_LIJF_a,7,0
AORV_Type1_LIJF_a,8,0
AORV_Type1_LIJF_a,9,0
AORV_Type1_LIJF_a,10,0
AORV_Type1_LIJF_a,11,0
AORV_Type1_LIJF_b,0,0
AORV_Type1_LIJF_b,1,0
AORV_Type1_LIJF_b,2,0
AORV_Type1_LIJF_b,3,0
AORV_Type1_LIJF_b,4,0
AORV_Type1_LIJF_b,5,0
AORV_Type1_LIJF_b,6,0
AORV_Type1_LIJF_b,7,0
AORV_Type1_LIJF_b,8,0
AORV_Type1_LIJF_b,9,0
AORV_Type1_LIJF_b,10,0
AORV_Type1_LIJF_b,11,0
AORV_Type2_KBL_a,0,0
AORV_Type2_KBL_a,1,0
AORV_Type2_KBL_a,2,0
AORV_Type2_KBL_a,3,0
AORV_Type2_KBL_a,4,0
AORV_Type2_KBL_a,5,0
AORV_Type2_KBL_a,6,0
AORV_Type2_KBL_a,7,0
AORV_Type2_KBL_a,8,0
AORV_Type2_KBL_a,9,0
AORV_Type2_KBL_a,10,0
AORV_Type2_KBL_a,11,0
AORV_Type2_KBL_b,0,0
AORV_Type2_KBL_b,1,0
AORV_Type2_KBL_b,2,0
AORV_Type2_KBL_b,3,0
AORV_Type2_KBL_b,4,0
AORV_Type2_KBL_b,5,0
AORV_Type2_KBL_b,6,0
AORV_Type2_KBL_b,7,0
AORV_Type2_KBL_b,8,0
AORV_Type2_KBL_b,9,0
AORV_Type2_KBL_b,10,0
AORV_Type2_KBL_b,11,0
AORV_Type2_KBO_a,0,0
AORV_Type2_KBO_a,1,0
AORV_Type2_KBO_a,2,0
AORV_Type2_KBO_a,3,0
AORV_Type2_KBO_a,4,0
AORV_Type2_KBO_a,5,0
AORV_Type2_KBO_a,6,0
AORV_Type2_KBO_a,7,0
AORV_Type2_KBO_a,8,0
AORV_Type2_KBO_a,9,0
AORV_Type2_KBO_a,10,0
AORV_Type2_KBO_a,11,0
AORV_Type2_KBO_b,0,0
AORV_Type2_KBO_b,1,0
AORV_Type2_KBO_b,2,0
AORV_Type2_KBO_b,3,0
AORV_Type2_KBO_b,4,0
AORV_Type2_KBO_b,5,0
AORV_Type2_KBO_b,6,0
AORV_Type2_KBO_b,7,0
AORV_Type2_KBO_b,8,0
AORV_Type2_KBO_b,9,0
AORV_Type2_KBO_b,10,0
AORV_Type2_KBO_b,11,0
AORV_Type2_LIJF_a,0,0
AORV_Type2_LIJF_a,1,0
AORV_Type2_LIJF_a,2,0
AORV_Type2_LIJF_a,3,0
AORV_Type2_LIJF_a,4,0
AORV_Type2_LIJF_a,5,0
AORV_Type2_LIJF_a,6,0
AORV_Type2_LIJF_a,7,0
AORV_Type2_LIJF_a,8,0
AORV_Type2_LIJF_a,9,0
AORV_Type2_LIJF_a,10,0
AORV_Type2_LIJF_a,11,0
AORV_Type2_LIJF_b,0,0
AORV_Type2_LIJF_b,1,0
AORV_Type2_LIJF_b,2,0
AORV_Type2_LIJF_b,3,0
AORV_Type2_LIJF_b,4,0
AORV_Type2_LIJF_b,5,0
AORV_Type2_LIJF_b,6,0
AORV_Type2_LIJF_b,7,0
AORV_Type2_LIJF_b,8,0
AORV_Type2_LIJF_b,9,0
AORV_Type2_LIJF_b,10,0
AORV_Type2_LIJF_b,11,0
AORV_Type3_KBL_a,0,0
AORV_Type3_KBL_a,1,0
AORV_Type3_KBL_a,2,0
AORV_Type3_KBL_a,3,0
AORV_Type3_KBL_a,4,0
AORV_Type3_KBL_a,5,0
AORV_Type3_KBL_a,6,0
AORV_Type3_KBL_a,7,0
AORV_Type3_KBL_a,8,0
AORV_Type3_KBL_a,9,0
AORV_Type3_KBL_a,10,0
AORV_Type3_KBL_a,11,0
AORV_Type3_KBL_b,0,0
AORV_Type3_KBL_b,1,0
AORV_Type3_KBL_b,2,0
AORV_Type3_KBL_b,3,0
AORV_Type3_KBL_b,4,0
AORV_Type3_KBL_b,5,0
AORV_Type3_KBL_b,6,0
AORV_Type3_KBL_b,7,0
AORV_Type3_KBL_b,8,0
AORV_Type3_KBL_b,9,0
AORV_Type3_KBL_b,10,0
AORV_Type3_KBL_b,11,0
AORV_Type3_KBO_a,0,0
AORV_Type3_KBO_a,1,0
AORV_Type3_KBO_a,2,0
AORV_Type3_KBO_a,3,0
AORV_Type3_KBO_a,4,0
AORV_Type3_KBO_a,5,0
AORV_Type3_KBO_a,6,0
AORV_Type3_KBO_a,7,0
AORV_Type3_KBO_a,8,0
AORV_Type3_KBO_a,9,0
AORV_Type3_KBO_a,10,0
AORV_Type3_KBO_a,11,0
AORV_Type3_KBO_b,0,0
AORV_Type3_KBO_b,1,0
AORV_Type3_KBO_b,2,0
AORV_Type3_KBO_b,3,0
AORV_Type3_KBO_b,4,0
AORV_Type3_KBO_b,5,0
AORV_Type3_KBO_b,6,0
AORV_Type3_KBO_b,7,0
AORV_Type3_KBO_b,8,0
AORV_Type3_KBO_b,9,0
AORV_Type3_KBO_b,10,0
AORV_Type3_KBO_b,11,0
AORV_Type3_LIJF_a,0,0
AORV_Type3_LIJF_a,1,0
AORV_Type3_LIJF_a,2,0
AORV_Type3_LIJF_a,3,0
AORV_Type3_LIJF_a,4,0
AORV_Type3_LIJF_a,5,0
AORV_Type3_LIJF_a,6,0
AORV_Type3_LIJF_a,7,0
AORV_Type3_LIJF_a,8,0
AORV_Type3_LIJF_a,9,0
AORV_Type3_LIJF_a,10,0
AORV_Type3_LIJF_a,11,0
